timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu
2026/06/18 12:09:33.675, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.56 W, 41
2026/06/18 12:09:34.677, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.61 W, 41
2026/06/18 12:09:35.678, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.16 W, 41
2026/06/18 12:09:36.680, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.64 W, 41
2026/06/18 12:09:37.681, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.22 W, 41
2026/06/18 12:09:38.683, 0, Tesla V100-SXM2-32GB, 3 %, 0 %, 32768 MiB, 420 MiB, 32075 MiB, 56.81 W, 41
2026/06/18 12:09:39.684, 0, Tesla V100-SXM2-32GB, 5 %, 1 %, 32768 MiB, 978 MiB, 31517 MiB, 62.54 W, 42
2026/06/18 12:09:40.685, 0, Tesla V100-SXM2-32GB, 95 %, 72 %, 32768 MiB, 2156 MiB, 30339 MiB, 219.39 W, 45
2026/06/18 12:09:41.687, 0, Tesla V100-SXM2-32GB, 95 %, 71 %, 32768 MiB, 2156 MiB, 30339 MiB, 240.92 W, 47
2026/06/18 12:09:42.688, 0, Tesla V100-SXM2-32GB, 93 %, 70 %, 32768 MiB, 2156 MiB, 30339 MiB, 248.46 W, 48
2026/06/18 12:09:43.690, 0, Tesla V100-SXM2-32GB, 94 %, 70 %, 32768 MiB, 2156 MiB, 30339 MiB, 254.07 W, 49
2026/06/18 12:09:44.692, 0, Tesla V100-SXM2-32GB, 93 %, 70 %, 32768 MiB, 2156 MiB, 30339 MiB, 260.15 W, 50
