timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu
2026/06/18 12:12:01.897, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.61 W, 34
2026/06/18 12:12:02.900, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.73 W, 34
2026/06/18 12:12:03.902, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.53 W, 34
2026/06/18 12:12:04.905, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.73 W, 34
2026/06/18 12:12:05.908, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.73 W, 34
2026/06/18 12:12:06.910, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 30 MiB, 32465 MiB, 54.35 W, 34
2026/06/18 12:12:07.914, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 558 MiB, 31937 MiB, 57.70 W, 34
2026/06/18 12:12:08.917, 0, Tesla V100-SXM2-32GB, 79 %, 52 %, 32768 MiB, 4842 MiB, 27653 MiB, 216.65 W, 38
2026/06/18 12:12:09.922, 0, Tesla V100-SXM2-32GB, 96 %, 66 %, 32768 MiB, 4842 MiB, 27653 MiB, 260.20 W, 42
2026/06/18 12:12:10.924, 0, Tesla V100-SXM2-32GB, 95 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 267.42 W, 43
2026/06/18 12:12:11.925, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 259.54 W, 43
2026/06/18 12:12:12.927, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 272.33 W, 44
2026/06/18 12:12:13.931, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 268.68 W, 45
2026/06/18 12:12:14.933, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 261.50 W, 45
2026/06/18 12:12:15.934, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 266.29 W, 45
2026/06/18 12:12:16.936, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 257.50 W, 46
2026/06/18 12:12:17.937, 0, Tesla V100-SXM2-32GB, 96 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 259.89 W, 46
2026/06/18 12:12:18.939, 0, Tesla V100-SXM2-32GB, 96 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 260.54 W, 47
2026/06/18 12:12:19.940, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 256.06 W, 47
2026/06/18 12:12:20.941, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 258.15 W, 48
2026/06/18 12:12:21.943, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 263.11 W, 48
2026/06/18 12:12:22.945, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 265.63 W, 48
2026/06/18 12:12:23.948, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 274.98 W, 48
2026/06/18 12:12:24.950, 0, Tesla V100-SXM2-32GB, 87 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 258.67 W, 48
2026/06/18 12:12:25.952, 0, Tesla V100-SXM2-32GB, 95 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 234.05 W, 48
2026/06/18 12:12:26.953, 0, Tesla V100-SXM2-32GB, 95 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 238.36 W, 49
2026/06/18 12:12:27.955, 0, Tesla V100-SXM2-32GB, 95 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 236.29 W, 49
2026/06/18 12:12:28.956, 0, Tesla V100-SXM2-32GB, 95 %, 66 %, 32768 MiB, 4842 MiB, 27653 MiB, 236.93 W, 50
2026/06/18 12:12:29.958, 0, Tesla V100-SXM2-32GB, 95 %, 66 %, 32768 MiB, 4842 MiB, 27653 MiB, 231.98 W, 50
2026/06/18 12:12:30.959, 0, Tesla V100-SXM2-32GB, 95 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 242.36 W, 51
2026/06/18 12:12:31.961, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 202.89 W, 50
2026/06/18 12:12:32.962, 0, Tesla V100-SXM2-32GB, 95 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 244.11 W, 51
2026/06/18 12:12:33.964, 0, Tesla V100-SXM2-32GB, 96 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 243.63 W, 51
2026/06/18 12:12:34.965, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 247.63 W, 51
2026/06/18 12:12:35.966, 0, Tesla V100-SXM2-32GB, 87 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 221.51 W, 51
2026/06/18 12:12:36.968, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 250.66 W, 51
2026/06/18 12:12:37.969, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 246.66 W, 51
2026/06/18 12:12:38.971, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 250.99 W, 51
2026/06/18 12:12:39.972, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 240.92 W, 51
2026/06/18 12:12:40.974, 0, Tesla V100-SXM2-32GB, 86 %, 56 %, 32768 MiB, 4842 MiB, 27653 MiB, 221.84 W, 51
